id_fundo,nome_fundo,categoria,data_inicio,patrimonio_inicial,taxa_administracao,data_cota,cotacao,rentabilidade_dia,volume_negociado,z-score
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-04-06,64.39,-0.02,148836,0.3085678932258103
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-02-04,66.94,0.019,844944,0.3085678932258103
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-03-24,67.82,0.032,851989,0.3085678932258103
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-01-07,66.81,0.017,509070,0.3085678932258103
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-02-16,62.87,-0.043,187536,0.3085678932258103
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-04-02,64.36,-0.021,980128,0.3085678932258103
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-04-09,65.87,0.003,303145,0.3085678932258103
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-02-03,67.65,0.03,922700,0.3085678932258103
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-02-22,0.0,-0.016,823135,0.3085678932258103
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-04-10,63.39,-0.035,725990,0.3085678932258103
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-05-01,65.3,-0.006,105703,0.3085678932258103
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-01-09,67.42,0.026,515142,0.3085678932258103
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-05-24,67.56,0.028,393400,0.3085678932258103
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-05-07,65.36,-0.005,948897,0.3085678932258103
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-02-05,300.1268165859564,-0.013,562430,0.3085678932258103
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-05-27,67.16,0.022,808467,0.3085678932258103
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-02-13,65.43,-0.004,545302,0.3085678932258103
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-03-16,0.0,-0.026,675744,0.3085678932258103
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-04-01,63.86,-0.028,994863,0.3085678932258103
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-01-07,66.81,0.017,509070,0.3085678932258103
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-01-18,64.87,-0.013,106824,0.3085678932258103
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-04-29,65.97,0.004,844404,0.3085678932258103
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-05-13,66.78,0.016,603688,0.3085678932258103
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-01-08,67.38,0.026,784058,0.3085678932258103
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-04-13,67.04,0.02,31518,0.3085678932258103
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-05-14,66.89,0.018,651306,0.3085678932258103
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-05-26,66.17,0.007,552438,0.3085678932258103
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-01-24,0.0,0.025,179194,0.3085678932258103
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-01-30,66.93,0.019,950362,0.3085678932258103
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-05-19,66.03,0.005,621287,0.3085678932258103
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-05-04,300.1268165859564,0.024,930876,0.3085678932258103
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-01-04,64.14,-0.024,809074,0.3085678932258103
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-03-11,64.59,-0.017,407564,0.3085678932258103
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-04-25,63.49,-0.034,403044,0.3085678932258103
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-02-24,64.03,-0.026,525909,0.3085678932258103
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-03-29,67.38,0.025,168192,0.3085678932258103
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-01-31,66.71,0.015,782799,0.3085678932258103
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-02-14,64.49,-0.018,750978,0.3085678932258103
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-03-10,65.63,-0.001,234950,0.3085678932258103
