id_fundo,nome_fundo,categoria,data_inicio,patrimonio_inicial,taxa_administracao,data_cota,cotacao,rentabilidade_dia,volume_negociado
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-04-06,64.39,-0.02,148836
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-02-04,66.94,0.019,844944
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-03-24,67.82,0.032,851989
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-01-07,66.81,0.017,509070
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-02-16,62.87,-0.043,187536
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-04-02,64.36,-0.021,980128
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-04-09,65.87,0.003,303145
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-02-03,67.65,0.03,922700
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-02-22,0.0,-0.016,823135
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-04-10,63.39,-0.035,725990
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-05-01,65.3,-0.006,105703
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-01-09,67.42,0.026,515142
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-05-24,67.56,0.028,393400
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-05-07,65.36,-0.005,948897
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-02-05,6486.08,-0.013,562430
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-05-27,67.16,0.022,808467
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-02-13,65.43,-0.004,545302
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-03-16,0.0,-0.026,675744
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-04-01,63.86,-0.028,994863
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-01-07,66.81,0.017,509070
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-01-18,64.87,-0.013,106824
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-04-29,65.97,0.004,844404
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-05-13,66.78,0.016,603688
31,Desconhecido,Ações,2002-08-08,2930396.58,1.8,2024-01-08,67.38,0.026,784058
